bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
446875,1007,HB4001,4,Passed,2014-12-31,"Civil rights; public records; statewide standards for freedom of information act costs; modify. Amends secs. 4, 5 & 10 of 1976 PA 442 (MCL 15.234 et seq.).","Civil rights; public records; statewide standards for freedom of information act costs; modify. Amends secs. 4, 5 & 10 of 1976 PA 442 (MCL 15.234 et seq.).",0,,2014-12-31,"Assigned Pa 563'14 With Immediate Effect 2014 Addenda",https://legiscan.com/MI/bill/HB4001/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4001
466211,1007,HB4012,1,Introduced,2013-01-22,"Elections; candidates; candidate affidavit attesting to validity of nominating petition signatures; require. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 558a.","Elections; candidates; candidate affidavit attesting to validity of nominating petition signatures; require. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 558a.",2828,"House Elections And Ethics",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4012/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4012
466198,1007,HB4013,1,Introduced,2013-01-22,"Human services; medical services; use of pooled trusts for medicaid eligibility; authorize. Amends sec. 106 of 1939 PA 280 (MCL 400.106) & adds sec. 106b.","Human services; medical services; use of pooled trusts for medicaid eligibility; authorize. Amends sec. 106 of 1939 PA 280 (MCL 400.106) & adds sec. 106b.",0,,2013-09-12,"Placed On Third Reading",https://legiscan.com/MI/bill/HB4013/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4013
466189,1007,HB4014,1,Introduced,2013-01-22,"Counties; charter; distribution of county park system revenue; clarify. Amends 1965 PA 261 (MCL 46.351 - 46.367) by adding sec. 5a.","Counties; charter; distribution of county park system revenue; clarify. Amends 1965 PA 261 (MCL 46.351 - 46.367) by adding sec. 5a.",2830,"House Local Government",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4014/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4014
466177,1007,HB4015,1,Introduced,2013-01-22,"Transportation; funds; funding to authority created under the municipal partnership act or the urban cooperation act of 1967; provide for. Amends sec. 10c of 1951 PA 51 (MCL 247.660c) & adds sec. 10q.","Transportation; funds; funding to authority created under the municipal partnership act or the urban cooperation act of 1967; provide for. Amends sec. 10c of 1951 PA 51 (MCL 247.660c) & adds sec. 10q.",2834,"House Transportation And Infrastructure",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4015/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4015
466167,1007,HB4016,1,Introduced,2013-01-22,"Counties; employees and officers; removal of county executive by governor under certain circumstances; provide for. Amends title of 1966 PA 293 (MCL 45.501 - 45.521) & adds sec 14a.","Counties; employees and officers; removal of county executive by governor under certain circumstances; provide for. Amends title of 1966 PA 293 (MCL 45.501 - 45.521) & adds sec 14a.",2830,"House Local Government",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4016/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4016
466155,1007,HB4017,1,Introduced,2013-01-22,"Counties; employees and officers; removal of county executive by governor under certain circumstances; provide for. Amends title & secs. 9 & 9a of 1973 PA 139 (MCL 45.559 & 45.559a) & adds sec. 9b.","Counties; employees and officers; removal of county executive by governor under certain circumstances; provide for. Amends title & secs. 9 & 9a of 1973 PA 139 (MCL 45.559 & 45.559a) & adds sec. 9b.",2830,"House Local Government",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4017/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4017
466142,1007,HB4018,1,Introduced,2013-01-22,"Occupations; lobbyists; lobbyist political contribution; restrict delivery of. Amends 1978 PA 472 (MCL 4.411 - 4.431) by adding sec. 11a.","Occupations; lobbyists; lobbyist political contribution; restrict delivery of. Amends 1978 PA 472 (MCL 4.411 - 4.431) by adding sec. 11a.",2828,"House Elections And Ethics",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4018/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4018
466129,1007,HB4019,1,Introduced,2013-01-22,"Elections; voters; identification requirement for voters who register by mail; allow individuals to present identification to any county, city, or township clerk office before an election. Amends sec. 509t of 1954 PA 116 (MCL 168.509t).","Elections; voters; identification requirement for voters who register by mail; allow individuals to present identification to any county, city, or township clerk office before an election. Amends sec. 509t of 1954 PA 116 (MCL 168.509t).",2828,"House Elections And Ethics",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4019/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4019
466121,1007,HB4020,1,Introduced,2013-01-22,"Crimes; other; making false representation about military status; prohibit under certain circumstances and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 286.","Crimes; other; making false representation about military status; prohibit under certain circumstances and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 286.",2827,"House Criminal Justice",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4020/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4020
466110,1007,HB4021,4,Passed,2014-10-22,"Crimes; kidnapping; kidnapping; expand intent element. Amends sec. 349 of 1931 PA 328 (MCL 750.349).","Crimes; kidnapping; kidnapping; expand intent element. Amends sec. 349 of 1931 PA 328 (MCL 750.349).",0,,2014-10-22,"Assigned Pa 330'14 With Immediate Effect",https://legiscan.com/MI/bill/HB4021/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4021
466098,1007,HB4022,1,Introduced,2013-01-22,"Traffic control; driver license; designation of veteran status on driver license; provide for. Amends sec. 310 of 1949 PA 300 (MCL 257.310).","Traffic control; driver license; designation of veteran status on driver license; provide for. Amends sec. 310 of 1949 PA 300 (MCL 257.310).",2831,"House Military And Veterans Affairs",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4022/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4022
466089,1007,HB4023,1,Introduced,2013-01-22,"Employment security; administration; maximum benefit period; modify. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).","Employment security; administration; maximum benefit period; modify. Amends sec. 27 of 1936 (Ex Sess) PA 1 (MCL 421.27).",817,"House Commerce",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4023/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4023
466075,1007,HB4024,1,Introduced,2013-01-22,"Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).","Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).",2830,"House Local Government",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4024/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4024
466063,1007,HB4025,1,Introduced,2013-01-22,"Civil procedure; evictions; court procedures; make miscellaneous revisions. Amends secs. 5732 & 5739 of 1961 PA 236 (MCL 600.5732 & 600.5739) & adds sec. 5736.","Civil procedure; evictions; court procedures; make miscellaneous revisions. Amends secs. 5732 & 5739 of 1961 PA 236 (MCL 600.5732 & 600.5739) & adds sec. 5736.",821,"House Judiciary",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4025/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4025
466052,1007,HB4026,1,Introduced,2013-01-22,"State; interstate compacts and agreements; review by attorney general and filing with office of the great seal; require. Amends 1846 RS 12 (MCL 14.28 - 14.35) by adding sec. 32a.","State; interstate compacts and agreements; review by attorney general and filing with office of the great seal; require. Amends 1846 RS 12 (MCL 14.28 - 14.35) by adding sec. 32a.",838,"Senate Government Operations",2013-04-11,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4026/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4026
466041,1007,HB4027,1,Introduced,2013-01-22,"Weapons; other; right to transportation and storage of firearms under certain circumstances; allow. Amends title of 1927 PA 372 (MCL 28.421 - 28.435) & adds secs. 1b & 16.","Weapons; other; right to transportation and storage of firearms under certain circumstances; allow. Amends title of 1927 PA 372 (MCL 28.421 - 28.435) & adds secs. 1b & 16.",821,"House Judiciary",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4027/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4027
466029,1007,HB4028,1,Introduced,2013-01-22,"Vehicles; registration; optional county registration fee to benefit public transit; create. Amends sec. 801 of 1949 PA 300 (MCL 257.801) & adds sec. 801k.","Vehicles; registration; optional county registration fee to benefit public transit; create. Amends sec. 801 of 1949 PA 300 (MCL 257.801) & adds sec. 801k.",2834,"House Transportation And Infrastructure",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4028/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4028
466018,1007,HB4029,1,Introduced,2013-01-22,"Property tax; assessments; definition of transfer of ownership; revise to exclude certain transfers resulting from the taking of a principal residence under eminent domain. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).","Property tax; assessments; definition of transfer of ownership; revise to exclude certain transfers resulting from the taking of a principal residence under eminent domain. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).",825,"House Tax Policy",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4029/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4029
466007,1007,HB4030,1,Introduced,2013-01-22,"Property; condemnation; compensation for the taking of a principal residence under eminent domain; revise property tax pop-up component. Amends sec. 5 of 1980 PA 87 (MCL 213.55).","Property; condemnation; compensation for the taking of a principal residence under eminent domain; revise property tax pop-up component. Amends sec. 5 of 1980 PA 87 (MCL 213.55).",825,"House Tax Policy",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4030/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4030
465994,1007,HB4031,1,Introduced,2013-01-22,"Taxation; excise taxes; levy of a car rental assessment; establish, and earmark for construction and maintenance of certain roads. Creates new act.","Taxation; excise taxes; levy of a car rental assessment; establish, and earmark for construction and maintenance of certain roads. Creates new act.",2834,"House Transportation And Infrastructure",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4031/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4031
465983,1007,HB4032,1,Introduced,2013-01-22,"Education; public school academies; cyber schools; require posting educational materials on website and submission to department. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 553b.","Education; public school academies; cyber schools; require posting educational materials on website and submission to department. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 553b.",818,"House Education",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4032/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4032
465973,1007,HB4033,1,Introduced,2013-01-22,"Cities; home rule; posting of legal notices as alternative to publishing; provide for. Amends 1909 PA 279 (MCL 117.1 - 117.38) by adding sec. 4t.","Cities; home rule; posting of legal notices as alternative to publishing; provide for. Amends 1909 PA 279 (MCL 117.1 - 117.38) by adding sec. 4t.",2830,"House Local Government",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4033/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4033
465961,1007,HB4034,1,Introduced,2013-01-22,"Land use; land division; sidewalk construction in developments; impose completion date. Creates new act.","Land use; land division; sidewalk construction in developments; impose completion date. Creates new act.",895,"House Regulatory Reform",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4034/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4034
465950,1007,HB4035,1,Introduced,2013-01-22,"Criminal procedure; sex offender registration; exception to prohibition against residing within a student safety zone; modify. Amends sec. 35 of 1994 PA 295 (MCL 28.735).","Criminal procedure; sex offender registration; exception to prohibition against residing within a student safety zone; modify. Amends sec. 35 of 1994 PA 295 (MCL 28.735).",2827,"House Criminal Justice",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4035/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4035
465937,1007,HB4036,1,Introduced,2013-01-22,"Vehicles; registration plates; renewal of ""Auto Centennial"" registration plates and renewal of registration plates 12 years or more after issuance; prohibit. Amends sec. 224 of 1949 PA 300 (MCL 257.224).","Vehicles; registration plates; renewal of ""Auto Centennial"" registration plates and renewal of registration plates 12 years or more after issuance; prohibit. Amends sec. 224 of 1949 PA 300 (MCL 257.224).",2834,"House Transportation And Infrastructure",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4036/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4036
465928,1007,HB4037,4,Passed,2013-05-15,"Traffic control; driver license; designation of veteran status on driver license; provide for, and allow secretary of state to report certain veteran information to certain other departments and agencies. Amends sec. 310 of 1949 PA 300 (MCL 257.310).","Traffic control; driver license; designation of veteran status on driver license; provide for, and allow secretary of state to report certain veteran information to certain other departments and agencies. Amends sec. 310 of 1949 PA 300 (MCL 257.310).",0,,2013-05-15,"Assigned Pa 27'13",https://legiscan.com/MI/bill/HB4037/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4037
465914,1007,HB4038,4,Passed,2014-12-10,"Natural resources; nonnative species; bush autumn olive; include on restricted species list. Amends sec. 41301 of 1994 PA 451 (MCL 324.41301).","Natural resources; nonnative species; bush autumn olive; include on restricted species list. Amends sec. 41301 of 1994 PA 451 (MCL 324.41301).",0,,2014-12-10,"Assigned Pa 358'14 With Immediate Effect",https://legiscan.com/MI/bill/HB4038/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4038
465905,1007,HB4039,1,Introduced,2013-01-22,"Civil rights; open meetings; closed session; allow for consideration of sale of real property. Amends sec. 8 of 1976 PA 267 (MCL 15.268).","Civil rights; open meetings; closed session; allow for consideration of sale of real property. Amends sec. 8 of 1976 PA 267 (MCL 15.268).",2833,"House Oversight",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4039/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4039
465894,1007,HB4040,1,Introduced,2013-01-22,"Crime victims; rights; victim notification of paroled prisoner escape, commutation, death, or parole board hearing; require. Amends secs. 19, 20 & 21 of 1985 PA 87 (MCL 780.769 et seq.).","Crime victims; rights; victim notification of paroled prisoner escape, commutation, death, or parole board hearing; require. Amends secs. 19, 20 & 21 of 1985 PA 87 (MCL 780.769 et seq.).",821,"House Judiciary",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4040/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4040
465880,1007,HB4041,1,Introduced,2013-01-22,"School aid; membership; per-pupil funding formula based on prior year's pupil count; provide for. Amends sec. 6 of 1979 PA 94 (MCL 388.1606).","School aid; membership; per-pupil funding formula based on prior year's pupil count; provide for. Amends sec. 6 of 1979 PA 94 (MCL 388.1606).",889,"House Appropriations",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4041/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4041
465870,1007,HB4042,4,Passed,2013-06-05,"Human services; food assistance; criteria for the issuance of Michigan bridge cards; modify. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 10f & repeals sec. 10e of 1939 PA 280 (MCL 400.10e[1]).","Human services; food assistance; criteria for the issuance of Michigan bridge cards; modify. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 10f & repeals sec. 10e of 1939 PA 280 (MCL 400.10e[1]).",0,,2013-06-05,"Assigned Pa 41'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4042/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4042
465856,1007,HB4043,1,Introduced,2013-01-22,"Education; other; adoption of local policy concerning political activities by employees that includes prohibiting the use of school resources or students for lobbying; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1242.","Education; other; adoption of local policy concerning political activities by employees that includes prohibiting the use of school resources or students for lobbying; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1242.",2833,"House Oversight",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4043/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4043
465845,1007,HB4044,1,Introduced,2013-01-22,"Insurance; health; marketing health coverage products; prohibit a requirement that it be through an exchange. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 455.","Insurance; health; marketing health coverage products; prohibit a requirement that it be through an exchange. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 455.",0,,2014-03-04,"Referred To Committee Of The Whole With Substitute S-1",https://legiscan.com/MI/bill/HB4044/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4044
465835,1007,HB4045,4,Passed,2013-04-24,"Occupations; electricians; eligible apprenticeship training programs; revise requirements for fire alarm specialty technicians. Amends sec. 3h of 1956 PA 217 (MCL 338.883h).","Occupations; electricians; eligible apprenticeship training programs; revise requirements for fire alarm specialty technicians. Amends sec. 3h of 1956 PA 217 (MCL 338.883h).",0,,2013-04-24,"Assigned Pa 18'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4045/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4045
465824,1007,HB4046,1,Introduced,2013-01-22,"Elections; campaign practices; individual circulating a petition; prohibit from being paid for each petition signature collected, and require petition circulators to wear identification badges. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding secs. 483b & 957a.","Elections; campaign practices; individual circulating a petition; prohibit from being paid for each petition signature collected, and require petition circulators to wear identification badges. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding secs. 483b & 957a.",2828,"House Elections And Ethics",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4046/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4046
465813,1007,HB4047,1,Introduced,2013-01-22,"Campaign finance; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.","Campaign finance; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.",2828,"House Elections And Ethics",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4047/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4047
465802,1007,HB4048,1,Introduced,2013-01-22,"Traffic control; speed restrictions; speed limits on certain gravel and dirt roads; reestablish. Amends sec. 627 of 1949 PA 300 (MCL 257.627).","Traffic control; speed restrictions; speed limits on certain gravel and dirt roads; reestablish. Amends sec. 627 of 1949 PA 300 (MCL 257.627).",2834,"House Transportation And Infrastructure",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4048/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4048
465786,1007,HB4049,1,Introduced,2013-01-22,"Property tax; exemptions; property tax exemption for disabled veterans; provide for. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7qq.","Property tax; exemptions; property tax exemption for disabled veterans; provide for. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7qq.",825,"House Tax Policy",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4049/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4049
465775,1007,HB4050,4,Passed,2013-06-04,"Children; protection; children's ombudsman to investigate victims of child abuse or neglect; expand criteria to include children who have died as a result of child abuse or neglect. Amends secs. 5a, 6, 7, 8 & 9 of 1994 PA 204 (MCL 722.925a et seq.) & repeals enacting section 2 of 2004 PA 560.","Children; protection; children's ombudsman to investigate victims of child abuse or neglect; expand criteria to include children who have died as a result of child abuse or neglect. Amends secs. 5a, 6, 7, 8 & 9 of 1994 PA 204 (MCL 722.925a et seq.) & repeals enacting section 2 of 2004 PA 560.",0,,2013-06-04,"Assigned Pa 38'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4050/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4050
465764,1007,HB4051,1,Introduced,2013-01-22,"Trade; containers; attempts to return nonrefundable containers; establish penalties. Amends sec. 4a of 1976 IL 1 (MCL 445.574a).","Trade; containers; attempts to return nonrefundable containers; establish penalties. Amends sec. 4a of 1976 IL 1 (MCL 445.574a).",0,,2013-02-26,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4051/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4051
465753,1007,HB4052,4,Passed,2013-04-24,"Trade; vehicles; motor vehicle sales finance act; expand to include certain nonmotorized recreational vehicles. Amends sec. 2 of 1950 (Ex Sess) PA 27 (MCL 492.102). TIE BAR WITH: HB 4053'13","Trade; vehicles; motor vehicle sales finance act; expand to include certain nonmotorized recreational vehicles. Amends sec. 2 of 1950 (Ex Sess) PA 27 (MCL 492.102). TIE BAR WITH: HB 4053'13",0,,2013-04-24,"Assigned Pa 16'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4052/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4052
465743,1007,HB4053,4,Passed,2013-04-24,"Trade; vehicles; application of retail installment sales act; exclude certain nonmotorized recreational vehicles. Amends sec. 2 of 1966 PA 224 (MCL 445.852). TIE BAR WITH: HB 4052'13","Trade; vehicles; application of retail installment sales act; exclude certain nonmotorized recreational vehicles. Amends sec. 2 of 1966 PA 224 (MCL 445.852). TIE BAR WITH: HB 4052'13",0,,2013-04-24,"Assigned Pa 17'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4053/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4053
465729,1007,HB4054,4,Passed,2013-05-16,"Family law; other; definition of eligible domestic relations order; modify. Amends secs. 2 & 10 of 1991 PA 46 (MCL 38.1702 & 38.1710).","Family law; other; definition of eligible domestic relations order; modify. Amends secs. 2 & 10 of 1991 PA 46 (MCL 38.1702 & 38.1710).",0,,2013-05-16,"Assigned Pa 32'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4054/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4054
465718,1007,HB4055,1,Introduced,2013-01-22,"Law enforcement; training; procedures regarding cyberbullying reporting; provide for. Creates new act.","Law enforcement; training; procedures regarding cyberbullying reporting; provide for. Creates new act.",818,"House Education",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4055/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4055
