bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
224250,114,HB4001,1,Introduced,2011-01-13,"Michigan business tax; surcharge; surcharge tax; repeal. Repeals sec. 281 of 2007 PA 36 (MCL 208.1281).","Michigan business tax; surcharge; surcharge tax; repeal. Repeals sec. 281 of 2007 PA 36 (MCL 208.1281).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4001/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4001
224261,114,HB4012,1,Introduced,2011-01-13,"Crimes; weapons; penalty for brandishing firearm in public; increase. Amends sec. 234e of 1931 PA 328 (MCL 750.234e).","Crimes; weapons; penalty for brandishing firearm in public; increase. Amends sec. 234e of 1931 PA 328 (MCL 750.234e).",821,"House Judiciary",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4012/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4012
224262,114,HB4013,1,Introduced,2011-01-13,"Law enforcement; other; possession and operation of electrical devices designed to temporarily incapacitate persons; allow for reserve peace officers, auxiliary officers, and reserve officers. Amends sec. 224a of 1931 PA 328 (MCL 750.224a).","Law enforcement; other; possession and operation of electrical devices designed to temporarily incapacitate persons; allow for reserve peace officers, auxiliary officers, and reserve officers. Amends sec. 224a of 1931 PA 328 (MCL 750.224a).",0,,2011-05-25,"Referred To Committee Of The Whole",https://legiscan.com/MI/bill/HB4013/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4013
224263,114,HB4014,1,Introduced,2011-01-13,"Occupations; inspectors; licensure and regulation of home inspection services; provide for, and require certain disclosures and contract provisions. Amends secs. 303a, 401 & 601 of 1980 PA 299 (MCL 339.303a et seq.) & adds art. 14.","Occupations; inspectors; licensure and regulation of home inspection services; provide for, and require certain disclosures and contract provisions. Amends secs. 303a, 401 & 601 of 1980 PA 299 (MCL 339.303a et seq.) & adds art. 14.",895,"House Regulatory Reform",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4014/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4014
224264,114,HB4015,1,Introduced,2011-01-13,"Human services; fraud; use of public assistance data cross-referenced with certain state employment tax data; allow. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.","Human services; fraud; use of public assistance data cross-referenced with certain state employment tax data; allow. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.",1722,"House Families, Children, And Seniors",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4015/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4015
224265,114,HB4016,1,Introduced,2011-01-13,"Environmental protection; other; NREPA programs; require peer review or benchmark analysis. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 27.","Environmental protection; other; NREPA programs; require peer review or benchmark analysis. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 27.",1788,"Senate Economic Development",2011-06-21,"Referred To Committee On Economic Development",https://legiscan.com/MI/bill/HB4016/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4016
224266,114,HB4017,4,Passed,2011-12-06,"Environmental protection; other; fair sampling process; require for inspections under NREPA. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 1505.","Environmental protection; other; fair sampling process; require for inspections under NREPA. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 1505.",0,,2011-12-06,"Assigned Pa 235'11 With Immediate Effect",https://legiscan.com/MI/bill/HB4017/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4017
224267,114,HB4018,1,Introduced,2011-01-13,"State agencies (existing); natural resources and environment; application review process; limit to 6 months. Amends sec. 1301 of 1994 PA 451 (MCL 324.1301)","State agencies (existing); natural resources and environment; application review process; limit to 6 months. Amends sec. 1301 of 1994 PA 451 (MCL 324.1301)",895,"House Regulatory Reform",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4018/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4018
224268,114,HB4019,1,Introduced,2011-01-13,"Education; public school academies; cap on number of public school academies authorized by state public universities under part 6a; eliminate. Amends secs. 502, 502a & 503 of 1976 PA 451 (MCL 380.502 et seq.).","Education; public school academies; cap on number of public school academies authorized by state public universities under part 6a; eliminate. Amends secs. 502, 502a & 503 of 1976 PA 451 (MCL 380.502 et seq.).",818,"House Education",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4019/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4019
224269,114,HB4020,1,Introduced,2011-01-13,"Economic development; other; small business loan guarantee program; create. Amends sec. 88d of 1984 PA 270 (MCL 125.2088d).","Economic development; other; small business loan guarantee program; create. Amends sec. 88d of 1984 PA 270 (MCL 125.2088d).",816,"House Banking And Financial Services",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4020/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4020
224270,114,HB4021,1,Introduced,2011-01-13,"Natural resources; gas and oil; distribution to natural resources trust fund from sale of oil and gas leases on state property; reduce. Amends sec. 1902 of 1994 PA 451 (MCL 324.1902) & repeals sec. 1908 of 1994 PA 451 (MCL 324.1908). TIE BAR WITH: HJR B'11","Natural resources; gas and oil; distribution to natural resources trust fund from sale of oil and gas leases on state property; reduce. Amends sec. 1902 of 1994 PA 451 (MCL 324.1902) & repeals sec. 1908 of 1994 PA 451 (MCL 324.1908). TIE BAR WITH: HJR B'11",1723,"House Natural Resources, Tourism, And Outdoor Recreation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4021/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4021
224271,114,HB4022,1,Introduced,2011-01-13,"Sales tax; distribution; distribution of certain revenue into the state aeronautics fund; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).","Sales tax; distribution; distribution of certain revenue into the state aeronautics fund; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4022/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4022
224272,114,HB4023,1,Introduced,2011-01-13,"Transportation; funds; requirement for state subsidized transit agencies to supplement budget through ridership fares; provide for, and provide penalties for noncompliance. Amends sec. 10e of 1951 PA 51 (MCL 247.660e).","Transportation; funds; requirement for state subsidized transit agencies to supplement budget through ridership fares; provide for, and provide penalties for noncompliance. Amends sec. 10e of 1951 PA 51 (MCL 247.660e).",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4023/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4023
224273,114,HB4024,1,Introduced,2011-01-13,"Public employees and officers; state; state contractors; require to verify legal residency of employees. Creates new act.","Public employees and officers; state; state contractors; require to verify legal residency of employees. Creates new act.",0,,2012-11-27,"Motion To Discharge Committee Postponed For Day",https://legiscan.com/MI/bill/HB4024/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4024
224274,114,HB4025,4,Passed,2012-07-18,"Sales tax; distribution; distribution of certain revenue from aviation fuel to be earmarked into the state aeronautics fund; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).","Sales tax; distribution; distribution of certain revenue from aviation fuel to be earmarked into the state aeronautics fund; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).",0,,2012-07-18,"Assigned Pa 226'12 With Immediate Effect",https://legiscan.com/MI/bill/HB4025/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4025
224275,114,HB4026,1,Introduced,2011-01-13,"Labor; fair employment practices; use of e-verification system by employment agencies; require. Amends sec. 1019 of 1980 PA 299 (MCL 339.1019).","Labor; fair employment practices; use of e-verification system by employment agencies; require. Amends sec. 1019 of 1980 PA 299 (MCL 339.1019).",0,,2012-11-27,"Motion To Discharge Committee Postponed For Day",https://legiscan.com/MI/bill/HB4026/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4026
224276,114,HB4027,1,Introduced,2011-01-13,"Property tax; assessments; transfer of ownership; revise for property conveyed by land contract. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).","Property tax; assessments; transfer of ownership; revise for property conveyed by land contract. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4027/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4027
224277,114,HB4028,1,Introduced,2011-01-13,"Natural resources; gas and oil; sale of oil and gas leases on state property; provide for distribution of revenue to state transportation fund. Amends sec. 10 of 1951 PA 51 (MCL 247.660). TIE BAR WITH: HB 4021'11, HJR B'11","Natural resources; gas and oil; sale of oil and gas leases on state property; provide for distribution of revenue to state transportation fund. Amends sec. 10 of 1951 PA 51 (MCL 247.660). TIE BAR WITH: HB 4021'11, HJR B'11",1723,"House Natural Resources, Tourism, And Outdoor Recreation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4028/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4028
224278,114,HB4029,1,Introduced,2011-01-13,"Counties; boards and commissions; county apportionment commission establishing single-member county road commission districts; permit. Amends sec. 3 of 1966 PA 261 (MCL 46.403). TIE BAR WITH: HB 4030'11, HB 4031'11","Counties; boards and commissions; county apportionment commission establishing single-member county road commission districts; permit. Amends sec. 3 of 1966 PA 261 (MCL 46.403). TIE BAR WITH: HB 4030'11, HB 4031'11",847,"Senate Transportation",2011-12-01,"Referred To Committee On Transportation",https://legiscan.com/MI/bill/HB4029/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4029
224279,114,HB4030,1,Introduced,2011-01-13,"Elections; other; option to elect county road commissioners by geographic districts of equal population; provide for in the Michigan election law. Amends secs. 252, 254, 267 & 269 of 1954 PA 116 (MCL 168.252 et seq.). TIE BAR WITH: HB 4031'11","Elections; other; option to elect county road commissioners by geographic districts of equal population; provide for in the Michigan election law. Amends secs. 252, 254, 267 & 269 of 1954 PA 116 (MCL 168.252 et seq.). TIE BAR WITH: HB 4031'11",847,"Senate Transportation",2011-12-01,"Referred To Committee On Transportation",https://legiscan.com/MI/bill/HB4030/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4030
224280,114,HB4031,1,Introduced,2011-01-13,"Counties; boards and commissions; option to elect county road commissioners by geographic districts of equal population; provide for. Amends secs. 6 & 8, ch. IV of 1909 PA 283 (MCL 224.6 & 224.8).","Counties; boards and commissions; option to elect county road commissioners by geographic districts of equal population; provide for. Amends secs. 6 & 8, ch. IV of 1909 PA 283 (MCL 224.6 & 224.8).",847,"Senate Transportation",2011-12-01,"Referred To Committee On Transportation",https://legiscan.com/MI/bill/HB4031/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4031
224281,114,HB4032,1,Introduced,2011-01-13,"Education; financing; property of fraternal organizations; exempt from school operating mills. Amends sec. 1211 of 1976 PA 451 (MCL 380.1211).","Education; financing; property of fraternal organizations; exempt from school operating mills. Amends sec. 1211 of 1976 PA 451 (MCL 380.1211).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4032/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4032
224282,114,HB4033,1,Introduced,2011-01-13,"Vehicles; registration plates; prorated renewal fees; modify. Amends sec. 801i of 1949 PA 300 (MCL 257.801i).","Vehicles; registration plates; prorated renewal fees; modify. Amends sec. 801i of 1949 PA 300 (MCL 257.801i).",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4033/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4033
224283,114,HB4034,1,Introduced,2011-01-13,"Property tax; exemptions; real property of certain nonprofit organizations; exempt from school operating millage. Amends sec. 53b of 1893 PA 206 (MCL 211.53b) & adds sec. 7qq.","Property tax; exemptions; real property of certain nonprofit organizations; exempt from school operating millage. Amends sec. 53b of 1893 PA 206 (MCL 211.53b) & adds sec. 7qq.",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4034/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4034
224284,114,HB4035,1,Introduced,2011-01-13,"State financing and management; bonds; use of capital outlay bond proceeds for certain transit infrastructure projects; allow. Amends sec. 1 of 1964 PA 183 (MCL 830.411) & adds sec. 8b.","State financing and management; bonds; use of capital outlay bond proceeds for certain transit infrastructure projects; allow. Amends sec. 1 of 1964 PA 183 (MCL 830.411) & adds sec. 8b.",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4035/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4035
224285,114,HB4036,1,Introduced,2011-01-13,"Watercraft; safety; county marine safety funding; require state to return 49% of certain revenue to counties for marine safety and require the state to post certain information online. Amends secs. 2035 & 80117 of 1994 PA 451 (MCL 324.2035 & 324.80117).","Watercraft; safety; county marine safety funding; require state to return 49% of certain revenue to counties for marine safety and require the state to post certain information online. Amends secs. 2035 & 80117 of 1994 PA 451 (MCL 324.2035 & 324.80117).",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4036/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4036
224286,114,HB4037,1,Introduced,2011-01-13,"Traffic control; speed restrictions; speed limits on certain gravel and dirt roads; reestablish. Amends sec. 627 of 1949 PA 300 (MCL 257.627).","Traffic control; speed restrictions; speed limits on certain gravel and dirt roads; reestablish. Amends sec. 627 of 1949 PA 300 (MCL 257.627).",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4037/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4037
224287,114,HB4038,1,Introduced,2011-01-13,"State financing and management; other; implementation of section 29 of article IX of the state constitution; provide for, and repeal 1979 PA 101. Creates new act & repeals 1979 PA 101 (MCL 21.231 - 21.244).","State financing and management; other; implementation of section 29 of article IX of the state constitution; provide for, and repeal 1979 PA 101. Creates new act & repeals 1979 PA 101 (MCL 21.231 - 21.244).",899,"House Government Operations",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4038/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4038
224288,114,HB4039,1,Introduced,2011-01-13,"Administrative procedure; rules; delegation of legislative authority that violates constitutional prohibition against unfunded mandates; nullify under certain circumstances. Amends secs. 3, 5, 7a, 40, 44, 45 & 45a of 1969 PA 306 (MCL 24.203 et seq.) & adds sec. 9. TIE BAR WITH: HB 4038'11","Administrative procedure; rules; delegation of legislative authority that violates constitutional prohibition against unfunded mandates; nullify under certain circumstances. Amends secs. 3, 5, 7a, 40, 44, 45 & 45a of 1969 PA 306 (MCL 24.203 et seq.) & adds sec. 9. TIE BAR WITH: HB 4038'11",899,"House Government Operations",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4039/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4039
224289,114,HB4040,1,Introduced,2011-01-13,"Legislature; committees; local government mandate panel; create and prescribe its duties. Amends 1986 PA 268 (MCL 4.1101 - 4.1901) by adding ch. 7C. TIE BAR WITH: HB 4038'11","Legislature; committees; local government mandate panel; create and prescribe its duties. Amends 1986 PA 268 (MCL 4.1101 - 4.1901) by adding ch. 7C. TIE BAR WITH: HB 4038'11",899,"House Government Operations",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4040/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4040
224290,114,HB4041,1,Introduced,2011-01-13,"Civil procedure; other; procedures for actions under sections 25 to 32 of article IX of the state constitution; revise. Amends sec. 308a of 1961 PA 236 (MCL 600.308a) & adds secs. 308b, 308c, 308d, 308e, 308f & 308g. TIE BAR WITH: HB 4038'11","Civil procedure; other; procedures for actions under sections 25 to 32 of article IX of the state constitution; revise. Amends sec. 308a of 1961 PA 236 (MCL 600.308a) & adds secs. 308b, 308c, 308d, 308e, 308f & 308g. TIE BAR WITH: HB 4038'11",899,"House Government Operations",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4041/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4041
224291,114,HB4042,4,Passed,2011-12-06,"Environmental protection; permit denial; require department to provide applicant with a specific, and to the extent applicable a scientific, rationale for the decision. Amends sec. 1307 of 1994 PA 451 (MCL 324.1307).","Environmental protection; permit denial; require department to provide applicant with a specific, and to the extent applicable a scientific, rationale for the decision. Amends sec. 1307 of 1994 PA 451 (MCL 324.1307).",0,,2011-12-06,"Assigned Pa 236'11 With Immediate Effect",https://legiscan.com/MI/bill/HB4042/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4042
224292,114,HB4043,4,Passed,2011-12-06,"Environmental protection; enforcement actions; require department to meet with permittee prior to initiating certain civil enforcement. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 1511.","Environmental protection; enforcement actions; require department to meet with permittee prior to initiating certain civil enforcement. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 1511.",0,,2011-12-06,"Assigned Pa 237'11 With Immediate Effect",https://legiscan.com/MI/bill/HB4043/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4043
224293,114,HB4044,1,Introduced,2011-01-13,"Environmental protection; other; administrative rules; prohibit additional rules unless a cost/benefit analysis has been conducted. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 514.","Environmental protection; other; administrative rules; prohibit additional rules unless a cost/benefit analysis has been conducted. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 514.",895,"House Regulatory Reform",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4044/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4044
224294,114,HB4045,1,Introduced,2011-01-13,"Occupations; code; rule-making authority of department of energy, labor, and economic growth under occupational code; eliminate. Amends sec. 205 of 1980 PA 299 (MCL 339.205).","Occupations; code; rule-making authority of department of energy, labor, and economic growth under occupational code; eliminate. Amends sec. 205 of 1980 PA 299 (MCL 339.205).",895,"House Regulatory Reform",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4045/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4045
224295,114,HB4046,1,Introduced,2011-01-13,"Michigan business tax; surcharge; phaseout; provide for. Amends sec. 281 of 2007 PA 36 (MCL 208.1281).","Michigan business tax; surcharge; phaseout; provide for. Amends sec. 281 of 2007 PA 36 (MCL 208.1281).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4046/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4046
224296,114,HB4047,1,Introduced,2011-01-13,"Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).","Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4047/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4047
224297,114,HB4048,1,Introduced,2011-01-13,"Property tax; assessments; new built homes; do not assess until house is occupied. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7ll.","Property tax; assessments; new built homes; do not assess until house is occupied. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 7ll.",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4048/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4048
224298,114,HB4049,1,Introduced,2011-01-13,"Michigan business tax; credits; credit for construction of certain energy-efficient homes; provide for. Amends 2007 PA 36 (MCL 208.1101 - 208.1601) by adding sec. 465.","Michigan business tax; credits; credit for construction of certain energy-efficient homes; provide for. Amends 2007 PA 36 (MCL 208.1101 - 208.1601) by adding sec. 465.",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4049/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4049
224299,114,HB4050,1,Introduced,2011-01-13,"Insurance; health; individual health insurance coverage; prohibit mandate to obtain. Creates new act.","Insurance; health; individual health insurance coverage; prohibit mandate to obtain. Creates new act.",892,"House Health Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4050/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4050
224300,114,HB4051,1,Introduced,2011-01-13,"Human services; food assistance; use of bridge card for cash withdrawals or for purchase of lottery tickets, alcohol, or tobacco products; prohibit. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.","Human services; food assistance; use of bridge card for cash withdrawals or for purchase of lottery tickets, alcohol, or tobacco products; prohibit. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.",1722,"House Families, Children, And Seniors",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4051/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4051
224301,114,HB4052,1,Introduced,2011-01-13,"Labor; collective bargaining; use of taxpayer-funded equipment, supplies, and facilities for union or political activities; prohibit. Amends sec. 9 of 1947 PA 336 (MCL 423.209).","Labor; collective bargaining; use of taxpayer-funded equipment, supplies, and facilities for union or political activities; prohibit. Amends sec. 9 of 1947 PA 336 (MCL 423.209).",0,,2011-09-20,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4052/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4052
