bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
86852,36,HB4001,1,Introduced,2009-01-22,"Income tax; property tax credit; income qualifier phaseout and amount of credit; eliminate and increase. Amends secs. 520 & 522 of 1967 PA 281 (MCL 206.520 & 206.522).","Income tax; property tax credit; income qualifier phaseout and amount of credit; eliminate and increase. Amends secs. 520 & 522 of 1967 PA 281 (MCL 206.520 & 206.522).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4001/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4001
86893,36,HB4042,1,Introduced,2009-01-22,"Juveniles; criminal procedure; restitution of certain cost incurred by victims of identity theft; amend probate code of 1939 to require. Amends secs. 30 & 31, ch. XIIA of 1939 PA 288 (MCL 712A.30 & 712A.31). TIE BAR WITH: HB 4040'09, HB 4041'09","Juveniles; criminal procedure; restitution of certain cost incurred by victims of identity theft; amend probate code of 1939 to require. Amends secs. 30 & 31, ch. XIIA of 1939 PA 288 (MCL 712A.30 & 712A.31). TIE BAR WITH: HB 4040'09, HB 4041'09",821,"House Judiciary",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4042/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4042
86894,36,HB4043,1,Introduced,2009-01-22,"State financing and management; purchasing; searchable database listing all state expenditures; create. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 447.","State financing and management; purchasing; searchable database listing all state expenditures; create. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 447.",899,"House Government Operations",2009-02-26,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4043/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4043
86895,36,HB4044,1,Introduced,2009-01-22,"Local government; other; sanctuary policy prohibition act; create. Creates new act.","Local government; other; sanctuary policy prohibition act; create. Creates new act.",821,"House Judiciary",2009-02-26,"Referred To Committee On Judiciary",https://legiscan.com/MI/bill/HB4044/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4044
86896,36,HB4045,4,Passed,2009-04-21,"Economic development; neighborhood enterprise zones; requirements for filing certain applications for a neighborhood enterprise zone; revise. Amends sec. 4 of 1992 PA 147 (MCL 207.774).","Economic development; neighborhood enterprise zones; requirements for filing certain applications for a neighborhood enterprise zone; revise. Amends sec. 4 of 1992 PA 147 (MCL 207.774).",0,,2009-04-21,"Assigned Pa 16'09 With Immediate Effect",https://legiscan.com/MI/bill/HB4045/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4045
86897,36,HB4046,1,Introduced,2009-01-22,"Civil procedure; foreclosure; mediation program and moratorium for residential mortgage foreclosures; establish. Amends title & secs. 3115, 3204 & 3236 of 1961 PA 236 (MCL 600.3115 et seq.) & adds secs. 3116, 3117, 3205, 3237 & 3238.","Civil procedure; foreclosure; mediation program and moratorium for residential mortgage foreclosures; establish. Amends title & secs. 3115, 3204 & 3236 of 1961 PA 236 (MCL 600.3115 et seq.) & adds secs. 3116, 3117, 3205, 3237 & 3238.",816,"House Banking And Financial Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4046/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4046
86898,36,HB4047,1,Introduced,2009-01-22,"Education; school districts; number of pupils enrolled in school district to determine status as a first class school district; modify. Amends sec. 402 of 1976 PA 451 (MCL 380.402).","Education; school districts; number of pupils enrolled in school district to determine status as a first class school district; modify. Amends sec. 402 of 1976 PA 451 (MCL 380.402).",834,"Senate Education",2009-04-21,"Referred To Committee On Education",https://legiscan.com/MI/bill/HB4047/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4047
86899,36,HB4048,1,Introduced,2009-01-22,"Insurance; no-fault; territorial base rates; provide for. Amends sec. 2111 of 1956 PA 218 (MCL 500.2111).","Insurance; no-fault; territorial base rates; provide for. Amends sec. 2111 of 1956 PA 218 (MCL 500.2111).",894,"House Insurance",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4048/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4048
86900,36,HB4049,1,Introduced,2009-01-22,"Public utilities; consumer services; energy shutoff for individuals with certain medical conditions; prohibit. Amends 1939 PA 3 (MCL 460.1 - 460.10cc) by adding sec. 9d.","Public utilities; consumer services; energy shutoff for individuals with certain medical conditions; prohibit. Amends 1939 PA 3 (MCL 460.1 - 460.10cc) by adding sec. 9d.",898,"House Energy And Technology",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4049/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4049
86901,36,HB4050,1,Introduced,2009-01-22,"Property tax; delinquent taxes; items included in delinquent taxes; exclude water and utility bills. Amends sec. 78a of 1893 PA 206 (MCL 211.78a).","Property tax; delinquent taxes; items included in delinquent taxes; exclude water and utility bills. Amends sec. 78a of 1893 PA 206 (MCL 211.78a).",0,,2009-10-13,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4050/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4050
86902,36,HB4051,1,Introduced,2009-01-22,"Consumer protection; unfair trade practices; application of Michigan consumer protection act to certain unfair trade practices in insurance code and certain other conduct authorized by law; clarify and revise. Amends sec. 4 of 1976 PA 331 (MCL 445.904).","Consumer protection; unfair trade practices; application of Michigan consumer protection act to certain unfair trade practices in insurance code and certain other conduct authorized by law; clarify and revise. Amends sec. 4 of 1976 PA 331 (MCL 445.904).",894,"House Insurance",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4051/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4051
86903,36,HB4052,1,Introduced,2009-01-22,"Consumer credit; other; Michigan homeownership preservation fund; create, and finance with civil fines. Amends title & sec. 10 of 2002 PA 660 (MCL 445.1640).","Consumer credit; other; Michigan homeownership preservation fund; create, and finance with civil fines. Amends title & sec. 10 of 2002 PA 660 (MCL 445.1640).",816,"House Banking And Financial Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4052/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4052
