bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
681723,1135,HB4001,4,Passed,2016-12-31,"Labor; hours and wages; prevailing wage; eliminate. Repeals 1965 PA 166 (MCL 408.551 - 408.558).","Labor; hours and wages; prevailing wage; eliminate. Repeals 1965 PA 166 (MCL 408.551 - 408.558).",0,,2016-12-31,"Reported With Recommendation Without Amendment",https://legiscan.com/MI/bill/HB4001/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4001
682052,1135,HB4012,1,Introduced,2015-01-15,"Land use; zoning and growth management; household agriculture; authorize in residential zones. Amends sec. 204 of 2006 PA 110 (MCL 125.3204).","Land use; zoning and growth management; household agriculture; authorize in residential zones. Amends sec. 204 of 2006 PA 110 (MCL 125.3204).",808,"House Agriculture",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4012/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4012
681347,1135,HB4013,1,Introduced,2015-01-15,"Weapons; concealed; no-carry zones; allow certain individuals with a personal protection order to carry concealed pistol. Amends sec. 5o of 1927 PA 372 (MCL 28.425o).","Weapons; concealed; no-carry zones; allow certain individuals with a personal protection order to carry concealed pistol. Amends sec. 5o of 1927 PA 372 (MCL 28.425o).",821,"House Judiciary",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4013/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4013
682202,1135,HB4014,1,Introduced,2015-01-15,"Education; school districts; collection or use of biometric data by public schools; prohibit. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1136.","Education; school districts; collection or use of biometric data by public schools; prohibit. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1136.",818,"House Education",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4014/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4014
682177,1135,HB4015,1,Introduced,2015-01-15,"Crimes; other; resale of event tickets at higher or lower prices; allow. Amends sec. 465 of 1931 PA 328 (MCL 750.465).","Crimes; other; resale of event tickets at higher or lower prices; allow. Amends sec. 465 of 1931 PA 328 (MCL 750.465).",0,,2015-04-14,"Reassigned To Committee On Commerce",https://legiscan.com/MI/bill/HB4015/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4015
682251,1135,HB4016,1,Introduced,2015-01-15,"Individual income tax; rate; rollback of rate; provide for. Amends sec. 51 of 1967 PA 281 (MCL 206.51).","Individual income tax; rate; rollback of rate; provide for. Amends sec. 51 of 1967 PA 281 (MCL 206.51).",825,"House Tax Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4016/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4016
682027,1135,HB4017,4,Passed,2015-06-04,"Food; other; persons donating food to nonprofit organizations or corporations that distribute donated food; provide immunity for. Amends title of 2000 PA 92 (MCL 289.1101 - 289.8111) & adds sec. 5104.","Food; other; persons donating food to nonprofit organizations or corporations that distribute donated food; provide immunity for. Amends title of 2000 PA 92 (MCL 289.1101 - 289.8111) & adds sec. 5104.",0,,2015-06-04,"Assigned Pa 41'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4017/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4017
681491,1135,HB4018,1,Introduced,2015-01-15,"Sales tax; definitions; definition of prewritten computer software; revise. Amends sec. 1a of 1933 PA 167 (MCL 205.51a).","Sales tax; definitions; definition of prewritten computer software; revise. Amends sec. 1a of 1933 PA 167 (MCL 205.51a).",0,,2015-02-11,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4018/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4018
682227,1135,HB4019,1,Introduced,2015-01-15,"Use tax; definitions; definition of prewritten computer software; revise. Amends sec. 2b of 1937 PA 94 (MCL 205.92b).","Use tax; definitions; definition of prewritten computer software; revise. Amends sec. 2b of 1937 PA 94 (MCL 205.92b).",0,,2015-02-11,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4019/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4019
682129,1135,HB4020,1,Introduced,2015-01-15,"Transportation; school vehicles; seat belts; require on new school buses. Amends 1990 PA 187 (MCL 257.1801 - 257.1877) by adding sec. 22.","Transportation; school vehicles; seat belts; require on new school buses. Amends 1990 PA 187 (MCL 257.1801 - 257.1877) by adding sec. 22.",2834,"House Transportation And Infrastructure",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4020/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4020
681594,1135,HB4021,1,Introduced,2015-01-15,"Education; financing; permissible use of sinking funds; expand to include school bus purchasing. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).","Education; financing; permissible use of sinking funds; expand to include school bus purchasing. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).",825,"House Tax Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4021/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4021
681771,1135,HB4022,4,Passed,2016-10-19,"Children; foster care; foster child identification theft protection act; create. Creates new act.","Children; foster care; foster child identification theft protection act; create. Creates new act.",0,,2016-10-19,"Assigned Pa 285'16 With Immediate Effect",https://legiscan.com/MI/bill/HB4022/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4022
681695,1135,HB4023,1,Introduced,2015-01-15,"Children; child care; limitation on allowable hours per day a child can be left at a child care center, group child care home, or family child care home; provide for. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding sec. 1b.","Children; child care; limitation on allowable hours per day a child can be left at a child care center, group child care home, or family child care home; provide for. Amends 1973 PA 116 (MCL 722.111 - 722.128) by adding sec. 1b.",1722,"House Families, Children, And Seniors",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4023/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4023
681643,1135,HB4024,1,Introduced,2015-01-15,"Labor; benefits; leave time for care of newborn or adoption of child; establish. Creates new act.","Labor; benefits; leave time for care of newborn or adoption of child; establish. Creates new act.",3163,"House Commerce And Trade",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4024/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4024
681467,1135,HB4025,1,Introduced,2015-01-15,"Local government; other; use of qualifications-based selection process when employing certain professionals; require. Amends 1968 PA 2 (MCL 141.421 - 141.440a) by adding sec. 3a.","Local government; other; use of qualifications-based selection process when employing certain professionals; require. Amends 1968 PA 2 (MCL 141.421 - 141.440a) by adding sec. 3a.",2830,"House Local Government",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4025/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4025
681899,1135,HB4026,1,Introduced,2015-01-15,"State financing and management; purchasing; use of qualifications-based selection process when employing design professionals; require. Amends sec. 237b of 1984 PA 431 (MCL 18.1237b).","State financing and management; purchasing; use of qualifications-based selection process when employing design professionals; require. Amends sec. 237b of 1984 PA 431 (MCL 18.1237b).",2834,"House Transportation And Infrastructure",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4026/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4026
681795,1135,HB4027,1,Introduced,2015-01-15,"Individual income tax; deductions; deduction for retirement and pension benefits; eliminate limitations and restrictions. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Individual income tax; deductions; deduction for retirement and pension benefits; eliminate limitations and restrictions. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",825,"House Tax Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4027/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4027
681619,1135,HB4028,1,Introduced,2015-01-15,"Family law; paternity; responsible father registry; create. Amends sec. 2805 of 1978 PA 368 (MCL 333.2805) & adds secs. 2893, 2893a, 2893b, 2893c, 2893d & 2893e.","Family law; paternity; responsible father registry; create. Amends sec. 2805 of 1978 PA 368 (MCL 333.2805) & adds secs. 2893, 2893a, 2893b, 2893c, 2893d & 2893e.",1722,"House Families, Children, And Seniors",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4028/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4028
681545,1135,HB4029,1,Introduced,2015-01-15,"Elections; absent voters; absent voter ballot; issue upon voter's request without requiring justification. Amends secs. 758 & 759 of 1954 PA 116 (MCL 168.758 & 168.759).","Elections; absent voters; absent voter ballot; issue upon voter's request without requiring justification. Amends secs. 758 & 759 of 1954 PA 116 (MCL 168.758 & 168.759).",3165,"House Elections",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4029/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4029
681825,1135,HB4030,1,Introduced,2015-01-15,"Occupations; lobbyists; lobbyist political contributions; prohibit delivery to certain state facilities. Amends 1978 PA 472 (MCL 4.411 - 4.431) by adding sec. 11a.","Occupations; lobbyists; lobbyist political contributions; prohibit delivery to certain state facilities. Amends 1978 PA 472 (MCL 4.411 - 4.431) by adding sec. 11a.",3165,"House Elections",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4030/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4030
681418,1135,HB4031,1,Introduced,2015-01-15,"Human services; medical services; restriction on use of experimental therapies for certain individuals; provide for. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109n.","Human services; medical services; restriction on use of experimental therapies for certain individuals; provide for. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 109n.",892,"House Health Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4031/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4031
681443,1135,HB4032,1,Introduced,2015-01-15,"Transportation; other; regulations for transportation network companies; establish. Creates new act.","Transportation; other; regulations for transportation network companies; establish. Creates new act.",3164,"House Communications And Technology",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4032/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4032
681392,1135,HB4033,1,Introduced,2015-01-15,"Counties; other; sale or transfer of assets of a water supply system or sewage disposal system; require approval by a majority of entities served by the water supply system or sewage disposal system. Amends 1957 PA 185 (MCL 123.731 - 123.786) by adding sec. 14b.","Counties; other; sale or transfer of assets of a water supply system or sewage disposal system; require approval by a majority of entities served by the water supply system or sewage disposal system. Amends 1957 PA 185 (MCL 123.731 - 123.786) by adding sec. 14b.",2830,"House Local Government",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4033/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4033
681978,1135,HB4034,1,Introduced,2015-01-15,"Human services; medical services; use of pooled trusts for medicaid eligibility; authorize. Amends sec. 106 of 1939 PA 280 (MCL 400.106) & adds sec. 106b.","Human services; medical services; use of pooled trusts for medicaid eligibility; authorize. Amends sec. 106 of 1939 PA 280 (MCL 400.106) & adds sec. 106b.",1722,"House Families, Children, And Seniors",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4034/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4034
688588,1135,HB4035,1,Introduced,2015-01-21,"Housing; landlord and tenants; provision in lease to waive right to a jury trial; allow. Amends sec. 3 of 1978 PA 454 (MCL 554.633).","Housing; landlord and tenants; provision in lease to waive right to a jury trial; allow. Amends sec. 3 of 1978 PA 454 (MCL 554.633).",821,"House Judiciary",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4035/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4035
688746,1135,HB4036,1,Introduced,2015-01-21,"Liquor; authorized distribution agents; record-keeping and reporting requirements and taxation of samples; provide for. Amends secs. 205 & 1027 of 1998 PA 58 (MCL 436.1205 & 436.2027).","Liquor; authorized distribution agents; record-keeping and reporting requirements and taxation of samples; provide for. Amends secs. 205 & 1027 of 1998 PA 58 (MCL 436.1205 & 436.2027).",895,"House Regulatory Reform",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4036/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4036
688667,1135,HB4037,1,Introduced,2015-01-21,"Family law; marriage and divorce; persons authorized to solemnize marriage; allow township supervisor to perform. Amends sec. 7 of 1846 RS 83 (MCL 551.7).","Family law; marriage and divorce; persons authorized to solemnize marriage; allow township supervisor to perform. Amends sec. 7 of 1846 RS 83 (MCL 551.7).",1722,"House Families, Children, And Seniors",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4037/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4037
688428,1135,HB4038,4,Passed,2015-05-27,"Housing; landlord and tenants; demand for payment of rent or possession of premises; allow by electronic mail. Amends sec. 5718 of 1961 PA 236 (MCL 600.5718).","Housing; landlord and tenants; demand for payment of rent or possession of premises; allow by electronic mail. Amends sec. 5718 of 1961 PA 236 (MCL 600.5718).",0,,2015-05-27,"Assigned Pa 36'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4038/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4038
688270,1135,HB4039,4,Passed,2015-12-01,"Property tax; delinquent taxes; notice by publication; revise. Amends secs. 78f & 78i of 1893 PA 206 (MCL 211.78f & 211.78i) & adds sec. 78s.","Property tax; delinquent taxes; notice by publication; revise. Amends secs. 78f & 78i of 1893 PA 206 (MCL 211.78f & 211.78i) & adds sec. 78s.",0,,2015-12-01,"Assigned Pa 190'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4039/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4039
688508,1135,HB4040,1,Introduced,2015-01-21,"Occupations; electricians; certain veterans; revise experience requirements and waive certain license, registration, and application fees. Amends secs. 3 & 3d of 1956 PA 217 (MCL 338.883 & 338.883d).","Occupations; electricians; certain veterans; revise experience requirements and waive certain license, registration, and application fees. Amends secs. 3 & 3d of 1956 PA 217 (MCL 338.883 & 338.883d).",895,"House Regulatory Reform",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4040/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4040
689055,1135,HB4041,4,Passed,2015-06-16,"Human services; services or financial assistance; family independence assistance program group's compliance with compulsory school attendance; require in order to receive assistance. Amends sec. 57b of 1939 PA 280 (MCL 400.57b).","Human services; services or financial assistance; family independence assistance program group's compliance with compulsory school attendance; require in order to receive assistance. Amends sec. 57b of 1939 PA 280 (MCL 400.57b).",0,,2015-06-16,"Assigned Pa 56'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4041/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4041
688117,1135,HB4042,1,Introduced,2015-01-21,"Vehicles; registration; registration fees on horse-drawn vehicles; allow counties to levy and earmark. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 801k.","Vehicles; registration; registration fees on horse-drawn vehicles; allow counties to levy and earmark. Amends 1949 PA 300 (MCL 257.1 - 257.923) by adding sec. 801k.",2834,"House Transportation And Infrastructure",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4042/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4042
688192,1135,HB4043,1,Introduced,2015-01-21,"School aid; foundation allowance; per-pupil funding formula; revise to provide greater equity. Amends sec. 20 of 1979 PA 94 (MCL 388.1620).","School aid; foundation allowance; per-pupil funding formula; revise to provide greater equity. Amends sec. 20 of 1979 PA 94 (MCL 388.1620).",889,"House Appropriations",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4043/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4043
688824,1135,HB4044,1,Introduced,2015-01-21,"Local government; audits; audit requirements for local government authorities; allow 2-year audit under certain conditions. Amends sec. 5 of 1968 PA 2 (MCL 141.425).","Local government; audits; audit requirements for local government authorities; allow 2-year audit under certain conditions. Amends sec. 5 of 1968 PA 2 (MCL 141.425).",2830,"House Local Government",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4044/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4044
688978,1135,HB4045,1,Introduced,2015-01-21,"Criminal procedure; warrants; defraying of costs incurred by local unit of government in executing bench warrants; allow. Amends sec. 1f, ch. IX of 1927 PA 175 (MCL 769.1f).","Criminal procedure; warrants; defraying of costs incurred by local unit of government in executing bench warrants; allow. Amends sec. 1f, ch. IX of 1927 PA 175 (MCL 769.1f).",821,"House Judiciary",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4045/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4045
688348,1135,HB4046,1,Introduced,2015-01-21,"Transportation; school vehicles; enhanced rear lighting for school buses; mandate. Amends 1990 PA 187 (MCL 257.1801 - 257.1877) by adding sec. 12.","Transportation; school vehicles; enhanced rear lighting for school buses; mandate. Amends 1990 PA 187 (MCL 257.1801 - 257.1877) by adding sec. 12.",2834,"House Transportation And Infrastructure",2015-01-22,"Printed Bill Filed 01/22/2015",https://legiscan.com/MI/bill/HB4046/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4046
688901,1135,HB4047,4,Passed,2016-11-29,"Highways; name; portion of M-18 between the city of Gladwin and the city of Beaverton; designate as the ""Veterans Memorial Highway."" Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 3a.","Highways; name; portion of M-18 between the city of Gladwin and the city of Beaverton; designate as the ""Veterans Memorial Highway."" Amends 2001 PA 142 (MCL 250.1001 - 250.2080) by adding sec. 3a.",0,,2016-11-29,"Assigned Pa 323'16 With Immediate Effect",https://legiscan.com/MI/bill/HB4047/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4047
691505,1135,HB4048,1,Introduced,2015-01-22,"Libraries; other; compensation to members of the board of directors; allow. Amends sec. 4 of 1877 PA 164 (MCL 397.204).","Libraries; other; compensation to members of the board of directors; allow. Amends sec. 4 of 1877 PA 164 (MCL 397.204).",2830,"House Local Government",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4048/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4048
687864,1135,HB4049,1,Introduced,2015-01-22,"Property tax; exemptions; real and personal property of a nonprofit charitable organization; modify exemptions. Amends sec. 7o of 1893 PA 206 (MCL 211.7o).","Property tax; exemptions; real and personal property of a nonprofit charitable organization; modify exemptions. Amends sec. 7o of 1893 PA 206 (MCL 211.7o).",825,"House Tax Policy",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4049/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4049
691396,1135,HB4050,1,Introduced,2015-01-22,"Liquor; licenses; inventory on premises; modify for licensees operating motor fuel pumps. Amends sec. 541 of 1998 PA 58 (MCL 436.1541).","Liquor; licenses; inventory on premises; modify for licensees operating motor fuel pumps. Amends sec. 541 of 1998 PA 58 (MCL 436.1541).",895,"House Regulatory Reform",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4050/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4050
691184,1135,HB4051,4,Passed,2015-04-14,"Taxation; administration; disclosure of certain tax-exempt property; provide for. Amends sec. 28 of 1941 PA 122 (MCL 205.28).","Taxation; administration; disclosure of certain tax-exempt property; provide for. Amends sec. 28 of 1941 PA 122 (MCL 205.28).",0,,2015-04-14,"Assigned Pa 10'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4051/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4051
691824,1135,HB4052,4,Passed,2015-07-14,"Labor; benefits; mandatory wage, benefit, leave time scheduling, training, or application information requirements; prohibit local units of government from establishing for employers. Creates new act.","Labor; benefits; mandatory wage, benefit, leave time scheduling, training, or application information requirements; prohibit local units of government from establishing for employers. Creates new act.",0,,2015-07-14,"Assigned Pa 105'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4052/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4052
691664,1135,HB4053,1,Introduced,2015-01-22,"Elections; offenses; penalties for promising, providing, or accepting valuable consideration to run or not to run for political office; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 931c.","Elections; offenses; penalties for promising, providing, or accepting valuable consideration to run or not to run for political office; provide for. Amends 1954 PA 116 (MCL 168.1 - 168.992) by adding sec. 931c.",3165,"House Elections",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4053/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4053
691990,1135,HB4054,4,Passed,2015-06-04,"Mobile homes; other; health and safety violations; provide for remedies and require posting of financial assurance. Amends secs. 2, 4, 16, 17, 43 & 48 of 1987 PA 96 (MCL 125.2302 et seq.) & adds secs. 48b & 50.","Mobile homes; other; health and safety violations; provide for remedies and require posting of financial assurance. Amends secs. 2, 4, 16, 17, 43 & 48 of 1987 PA 96 (MCL 125.2302 et seq.) & adds secs. 48b & 50.",0,,2015-06-04,"Assigned Pa 40'15 With Immediate Effect",https://legiscan.com/MI/bill/HB4054/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4054
691450,1135,HB4055,1,Introduced,2015-01-22,"Energy; alternative sources; energy optimization standards; increase. Amends sec. 77 of 2008 PA 295 (MCL 460.1077).","Energy; alternative sources; energy optimization standards; increase. Amends sec. 77 of 2008 PA 295 (MCL 460.1077).",3214,"House Energy Policy",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4055/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4055
691774,1135,HB4056,1,Introduced,2015-01-22,"Law enforcement; other; posting of signage produced by Michigan human trafficking task force on certain premises; require. Creates new act.","Law enforcement; other; posting of signage produced by Michigan human trafficking task force on certain premises; require. Creates new act.",895,"House Regulatory Reform",2015-01-27,"Printed Bill Filed 01/23/2015",https://legiscan.com/MI/bill/HB4056/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4056
